Artist name,Artist id,Track name,Track popularity,Genres,Followers,uri
How To Dress Well,4jLcgJjDGmW0HmvbSf6lEI,Lost Youth / Lost You,0,"['alternative r&b', 'indie r&b']",88444,spotify:track:70VLScXjTjuAkQqItcAwMu
Vitalic,4M84umUNRbZy1mJleyyRM9,Waiting For The Stars,0,"['electroclash', 'french house', 'electro', 'electronica']",329028,spotify:track:2W7W7y4vdxD8Dg0bbQBHov
Fabián D Cuesta,3NOAlABNpDcz4WxKSiBTh7,Turista,0,"['singer-songwriter', 'symphonic rock']",4951,spotify:track:1kFFeyjsC72US0U7Gf0joU
Vitalic,4M84umUNRbZy1mJleyyRM9,Waiting For The Stars,0,"['electroclash', 'french house', 'electro', 'electronica']",329028,spotify:track:2W7W7y4vdxD8Dg0bbQBHov
Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,Crying,0,['rockabilly'],2191906,spotify:track:1LXIGfDrobAa9y0kYT9BLJ
The xx,3iOvXCl6edW5Um0fXEBRXy,On Hold,0,[],3829208,spotify:track:4w2iAP3X4FkpPb5kjRdIDx
Peter Bjorn and John,6u11Qbko2N2hP4lTBYjX86,What You Talking About?,0,['indie'],417375,spotify:track:2kwCUGHZM2trtIhArFpixk
Dinosaur Jr.,267VY6GX5LyU5c9M85ECZQ,Start Choppin',0,"['noise rock', 'grunge', 'alternative rock', 'power pop']",569890,spotify:track:5vlvuYDeC10hTC82qT6In3
Jagwar Ma,6fEO1r9Y9TYL9O4w5kVPmc,Slipping,0,[],100727,spotify:track:2xuqGEBPooKdt2xD3uMhRf
Major Lazer,738wLrAtLtCtFOLvQBXOXp,Get Free - Andy C Remix,0,['moombahton'],6267121,spotify:track:2qdczP0o51xucNiPv0yleN
Local Natives,75dQReiBOHN37fQgWQrIAJ,Dark Days,0,[],661606,spotify:track:4LGB6LWQ54QGA889cG25kG
The Church,2ZfogSsOWP4mVfEqfpLXCt,Under The Milky Way,0,"['jangle pop', 'new wave', 'post-punk', 'dream pop']",259687,spotify:track:7fCa8GRIOfDIqbHTqpLzZI
Craig Finn,78DZaDfOK3i88eRVPkzZu2,Tracking Shots,0,[],22094,spotify:track:1j4IFxpV3aEqisdhgxSFUH
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Shout,0,"['new wave', 'synthpop']",3824613,spotify:track:5TXAySV8WBjAIMg3lPDCLN
Bauhaus,5N5tQ9Dx1h8Od7aRmGj7Fi,Slice of Life,0,"['post-punk', 'deathrock', 'darkwave', 'cold wave', 'new wave']",975384,spotify:track:0lb32cs6ztNypiaEefHdLR
Allman Brothers Band,4wQ3PyMz3WwJGI5uEqHUVR,Midnight Rider,0,"['southern rock', 'classic rock', 'blues rock', 'country rock']",1739366,spotify:track:5RfhUFcQBeonzqLRhU8gvK
Midlake,4YsP5zmteLQ7etNjHAOu30,Head Home,0,['chamber pop'],144838,spotify:track:0SgdOI8fZ5uKygS246eKTo
Clayhill,6hHnwefcNwrW92vAKNChp4,Please Please Please Let Me Get What I Want,0,[],3281,spotify:track:7vi3Rp9R3C8NFvbrYI2heS
Bag Raiders,6fXEqmGQEt6ONuqVmwrN46,Shooting Stars - Original Mix,0,['alternative dance'],246945,spotify:track:0qZDOfTqF4OGaako5PopdQ
The War On Drugs,6g0mn3tzAds6aVeUYRsryU,Strangest Thing,0,['indie rock'],981613,spotify:track:4Dl4Va8lCTWEVfNEx7WqzT
U2,51Blml2LZPmy7TTiAg47vQ,Trip Through Your Wires - Remastered 2007,0,['rock'],13117100,spotify:track:45nrovd5y6A6OCXyPvPFId
The Shoes,6buUuVTdxxAe5ODJtKZ4hP,Time to Dance - Rocky Piano Mix,0,['electronic rock'],54481,spotify:track:7gh1qyKcF1UxvQrIGtu1Ap
Luna,2AACqFGo8offvHCKGvrWxq,Fire in Cairo,0,['jangle pop'],57204,spotify:track:4Fkzc4iJVzo7mzOBUgwj9f
Nick Cave & The Bad Seeds,4UXJsSlnKd7ltsrHebV79Q,Death Is Not the End - 2011 Remastered Version,0,[],1515160,spotify:track:4Ljx5WO0WWxQNFqFgXnjjq
Montell Jordan,0iVrCROxeyon7MZUW3MfzT,This Is How We Do It,0,['new jack swing'],923797,spotify:track:443VARdacv4KDvymFkZ8Mt
St. Vincent,7bcbShaqKdcyjnmv4Ix8j6,New York,0,['art pop'],940578,spotify:track:1187w3EfxkIOeh4nqvy2sm
Say Hi,2da7ehIX9lFyIDqmjqVZvS,Oh Oh Oh Oh Oh Oh Oh Oh,0,[],42962,spotify:track:450JYpIA414XrVGB17NXLT
Ariel Pink,5H0YoDsPDi9fObFmJtTjfN,Feels Like Heaven,0,['psychedelic pop'],333533,spotify:track:1QNVXjc0OZXlKef6djHnXR
DJDS,0orEyXhG0KnPEDVgpctNJI,Why Don't You Come On,0,[],14049,spotify:track:53H37Z5dWtXdkltA4zHsE7
Kamaiyah,3XVpDdKav6C6zwlDXPhMEO,Mo Money Mo Problems,0,['hyphy'],188213,spotify:track:1wipKTkY1AyBENEuNoyRBq
Tune-Yards,0asVlqTLu3TimnYVyY5Jxi,Bizness,0,['art pop'],226582,spotify:track:78AaMLOriBZuohWdUV3IzE
Ian Gillan,4QCflfSOonkybNw5D7GqGk,Everything's Alright - Reprise,0,['musicals'],54543,spotify:track:6FMUO0qi4hOKxbPsfowpfY
Editors,6e9wIFWhBPHLE9bXK8gtBI,Magazine,0,[],758799,spotify:track:6hVZcLTExWAaodoqW2wLtf
Visage,0EPf9vAXPdFV5Ezp1sMX8B,Fade To Grey,0,"['synthpop', 'new wave']",233151,spotify:track:6rvXznPVt21K7Adhw9zKEJ
Suede,6PHIK3kjWggLtVygsOtpqS,Animal Nitrate,0,['britpop'],511515,spotify:track:6xbqbG8quMT88zadubrWtl
Lori Meyers,3mOsjj1MhocRVwOejIZlTi,Alta Fidelidad,0,['indie'],302271,spotify:track:6yBHR0esuWE4zr0A02qeKY
Oasis,2DaxqgrOhkeH0fpeiQq2f4,Cast No Shadow,0,"['britpop', 'madchester', 'rock']",11398118,spotify:track:5idxI74LP1QrwcMEzw4hkP
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU,Ideas As Opiates,0,"['new wave', 'synthpop']",3824613,spotify:track:5Mqx8wlnotJ0zJLWZCf1ve
WAS,0Vy8ogc0toTWyui4W7FEB6,All About the Music,0,[],4574,spotify:track:6LJtbogXZNVpjIxb88HvyA
TWICE,7n2Ycct7Beij7Dj7meI4X0,What is Love?,0,['k-pop'],21604923,spotify:track:5m95gCTAiHshTaajznt5fA
Ryan Adams,2qc41rNTtdLK0tV3mJn2Pm,Do You Still Love Me?,0,"['alt country', 'americana', 'singer-songwriter']",576715,spotify:track:2lz8pL2v1G6FOr9JHZnZsI
Cora Novoa,3PQuCFd5KBN1aPRUMIBjt7,Golden Apples - Original Mix,0,[],8132,spotify:track:0Ik5kegsd9xawPGn4Newk3
David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Ziggy Stardust - Live,0,"['glam rock', 'art rock']",11278035,spotify:track:2ttJpyK7P6nfymZcfkT7aG
Asian Dub Foundation,2EeUsNnv2BcVIGhBZ5SV8z,Semira,0,"['dub', 'big beat']",117048,spotify:track:6e3OztXorSnyGi6BfAsAiE
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Book Of Love (feat. Polina),0,['tropical house'],1301667,spotify:track:75GsBUERypMbXKnvIEAszl
Passenger,0gadJ2b9A4SKsB1RFkBb66,Let Her Go,0,['folk pop'],3596831,spotify:track:4AsFCxjsEl5yJxnD8tdFFf
Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,Serenade,0,['classic rock'],3204997,spotify:track:1J6fYNJNFdY1DKN2fWUyZ9
Marvin Gaye,3koiLjNrgRTNbOwViDipeA,Got To Give It Up,0,"['motown', 'soul', 'northern soul', 'quiet storm']",5710241,spotify:track:1cQBO3VJxv6RWmCsB5KSOI
Benjamin Clementine,7zHIrsSBL7A0gEJfzv1m7z,London,0,['art pop'],388162,spotify:track:0rwqlRQZvt4YCTecPrpOiY
João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,Amor certinho,0,"['bossa nova', 'brazilian jazz', 'samba', 'latin jazz', 'cool jazz', 'jazz', 'mpb']",669184,spotify:track:5ZkZeWPUKtLT19WKP1hosw
Manel,40tHhop0T30DwienQBmTxb,Sabotatge,0,[],149334,spotify:track:2Og0CPgPwzCpgkJN1lItAY
Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,In A Drawer,0,[],1033779,spotify:track:67SutUSDHx1ZjSd2Kqz37w
Suicide,6uVeWolwyRDrT84lLsaZyW,Dream Baby Dream,0,"['proto-punk', 'post-punk', 'krautrock']",186378,spotify:track:3MmogIpfk1GVXRMmRjKLGI
The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,Fall Together,0,[],742093,spotify:track:5D26M2BX03PlFpxqPQV1sv
The Maccabees,0vW8z9pZMGCcRtGPGtyqiB,Spit It Out,0,[],372717,spotify:track:4CXwWowaVZh879vWnWCQPs
C Duncan,0x3sTIYnP56TnL6bbyMU2i,Say,0,[],28363,spotify:track:2wOMCoPjEMu3JfpSPuAvdi
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Ain't Nobody - Loves You Better,0,['tropical house'],1301667,spotify:track:5GyGp5VOo1m5QeIIXKoHbc
trentemøller,4O71i7ke5iIBX6RNSFoZbS,River in Me,0,"['minimal techno', 'electronica']",400218,spotify:track:1rDjE1UGzEvRwxIjOQh5Yi
Grimes,053q0ukIDRgzwTr4vNSwab,Flesh without Blood,0,['art pop'],2534224,spotify:track:4ZcGbQ5dOKX6rJk4yvza9R
